ID,TransmissionRatio,Transmission,INEvTransmission,FilterUsed,Nodes,EventSkew,EventNodeRatio,WorkloadSize,NumberProjections,MinimalSelectivity,MedianSelectivity,CombigenComputationTime,Efficiency,PlacementComputationTime,centralHopLatency,Depth,CentralTransmission,LowerBound,EventTypes,MaximumParents,exact_costs,PushPullTime,MaxPushPullLatency
4119374,0.9283502402562733,224760.0,208656.0,[],50,1.3,0.5,5,7,0.1,0.07670152338407846,0.06,2.48,1.17,5,0.0,224760.0,0.0,8,8,121174.25720696003,0.4164268970489502,21
373043,0.3791903071122662,273190.0,103591.0,[],50,1.3,0.5,5,12,0.1,0.06123839886260565,0.08,2.38,2.0,5,0.0,273190.0,0.0,8,8,83768.55308774515,0.8375608921051025,15
9590878,0.4971890745160435,226260.0,112494.0,[],50,1.3,0.5,5,16,0.1,0.08045488533631329,0.04,2.32,1.05,5,0.0,226260.0,0.0,8,8,71498.4360745463,0.006486654281616211,15
3738190,0.974926967399681,278985.0,271990.0,[],50,1.3,0.5,5,21,0.1,0.07388488634343497,0.08,2.48,1.25,5,0.0,278985.0,0.0,8,8,160861.21407446632,0.7925310134887695,15
4891392,0.8015175689213758,269510.0,216017.0,[],50,1.3,0.5,5,25,0.1,0.07029869648337216,0.13,2.4,1.73,5,0.0,269510.0,0.0,8,8,85981.63791207777,0.19782090187072754,15
1187644,0.6902418328383538,282840.0,195228.0,[],50,1.3,0.5,5,28,0.1,0.086415091824878,0.05,2.64,0.84,5,0.0,282840.0,0.0,8,8,70290.5456051945,0.2052593231201172,19
7936017,0.8232533000727575,240525.0,198013.0,[],50,1.3,0.5,5,33,0.1,0.08845513787765352,0.06,2.44,1.37,5,0.0,240525.0,0.0,8,8,64690.90577844117,0.215592622756958,13
1952690,0.7911727921894541,247870.0,196108.0,[],50,1.3,0.5,5,38,0.1,0.06917739723916966,0.09,2.42,1.81,5,0.0,247870.0,0.0,8,8,90159.55081548438,0.8400664329528809,19
5116227,0.7984009546539379,209500.0,167265.0,[],50,1.3,0.5,5,42,0.1,0.08414162217427501,0.1,2.44,1.32,5,0.0,209500.0,0.0,8,8,46643.86495332357,0.16285133361816406,15
6508867,0.7688368418606812,215190.0,165446.0,[],50,1.3,0.5,5,47,0.1,0.09027666571628094,0.09,2.44,1.4,5,0.0,215190.0,0.0,8,8,182002.54542585087,0.047538042068481445,17
3727459,0.3557658238041553,248360.0,88358.0,[],50,1.3,0.5,5,52,0.1,0.06440967000734267,0.07,2.34,1.34,5,0.0,248360.0,0.0,8,8,83588.60204529624,0.0483708381652832,15
1976656,0.7375510522619079,192205.0,141761.0,[],50,1.3,0.5,5,56,0.1,0.060390814530264555,0.06,2.34,0.78,5,0.0,192205.0,0.0,8,8,68688.91376766066,0.028911352157592773,13
4964888,0.6116568330409823,188130.0,115071.0,[],50,1.3,0.5,5,61,0.1,0.08655226582037165,0.04,2.46,1.45,5,0.0,188130.0,0.0,8,8,148684.80004236358,0.028380155563354492,19
535139,0.668686661889651,146535.0,97986.0,[],50,1.3,0.5,5,65,0.1,0.5409997551090499,0.03,2.42,0.81,5,0.0,146535.0,0.0,8,8,43610.410544373066,0.010235786437988281,15
2334968,0.8625997011837719,217525.0,187637.0,[],50,1.3,0.5,5,70,0.1,0.5487622920424924,0.26,2.3,1.97,5,0.0,217525.0,0.0,8,8,78721.14625006005,0.1641252040863037,15
1736923,0.3647050363161301,208585.0,76072.0,[],50,1.3,0.5,5,75,0.1,0.09117743201913733,0.17,2.34,1.97,5,0.0,208585.0,0.0,8,8,67179.76663705062,0.6943719387054443,15
5694416,0.8980729682382512,262580.0,235816.0,[],50,1.3,0.5,5,80,0.1,0.08992361901832521,0.21,2.48,1.34,5,0.0,262580.0,0.0,8,8,122435.5186568278,0.07097887992858887,15
8622017,0.9179435223902592,271435.0,249162.0,[],50,1.3,0.5,5,84,0.1,0.5469430963195471,0.34,2.32,0.99,5,0.0,271435.0,0.0,8,8,108724.35523562515,0.14769220352172852,15
3744249,0.7379855542285162,175830.0,129760.0,[],50,1.3,0.5,5,88,0.1,0.0779780619533385,0.1,2.34,1.38,5,0.0,175830.0,0.0,8,8,65221.29337985922,0.009751081466674805,15
5190762,0.5539249958819116,273185.0,151324.0,[],50,1.3,0.5,5,92,0.1,0.06378231976781103,0.15,2.44,0.8,5,0.0,273185.0,0.0,8,8,72385.20504719579,0.6900537014007568,15
5862673,0.740777304964539,176250.0,130562.0,[],50,1.3,0.5,5,96,0.1,0.06525227678689863,0.07,2.34,1.22,5,0.0,176250.0,0.0,8,8,59594.66940343208,0.025628328323364258,13
9679841,0.6318351598735787,243630.0,153934.0,[],50,1.3,0.5,5,101,0.1,0.07092354291866959,0.14,2.3,1.26,5,0.0,243630.0,0.0,8,8,66959.37904578446,0.0383455753326416,15
283600,0.5214441293716352,243330.0,126883.0,[],50,1.3,0.5,5,106,0.1,0.08619605002096153,0.38,2.42,1.7,5,0.0,243330.0,0.0,8,8,152510.1551184738,0.3175327777862549,15
8833952,0.296141111065691,244630.0,72445.0,[],50,1.3,0.5,5,108,0.1,0.07742697656818225,0.06,2.44,0.65,5,0.0,244630.0,0.0,8,8,9147.29284825355,0.06108427047729492,9
3419440,0.45487114524365624,252610.0,114905.0,[],50,1.3,0.5,5,112,0.1,0.0762423236722187,0.14,2.44,0.91,5,0.0,252610.0,0.0,8,8,83822.43445680395,0.2083127498626709,19
3931633,0.8129564193168434,263190.0,213962.0,[],50,1.3,0.5,5,117,0.1,0.08892368873921042,0.21,2.36,1.45,5,0.0,263190.0,0.0,8,8,113461.50154490939,0.2746093273162842,15
4284871,0.7344670714801727,256085.0,188086.0,[],50,1.3,0.5,5,122,0.1,0.09131976426603111,0.18,2.34,1.48,5,0.0,256085.0,0.0,8,8,265822.71936282754,0.05404090881347656,15
5403264,0.4949675411771018,186390.0,92257.0,[],50,1.3,0.5,5,126,0.1,0.08001319910527561,0.06,2.42,0.82,5,0.0,186390.0,0.0,8,8,16213.460650971496,0.004229307174682617,9
