ID,TransmissionRatio,Transmission,INEvTransmission,FilterUsed,Nodes,EventSkew,EventNodeRatio,WorkloadSize,NumberProjections,MinimalSelectivity,MedianSelectivity,CombigenComputationTime,Efficiency,PlacementComputationTime,centralHopLatency,Depth,CentralTransmission,LowerBound,EventTypes,MaximumParents,exact_costs,PushPullTime,MaxPushPullLatency
5353951,0.6667121212121212,66000.0,44003.0,[],12,0.3,0.5,3,3,0.1,0.05701550497842074,0.0,1.6666666666666667,0.01,3,0.0,66000.0,0.0,6,10,13018.821547985483,0.014964580535888672,7
7776336,0.27785185185185185,54000.0,15004.0,[],12,0.3,0.5,3,5,0.1,0.09976372714497467,0.0,1.6666666666666667,0.01,3,0.0,54000.0,0.0,6,10,6571.448652233789,0.0013086795806884766,5
5886604,0.33343333333333336,60000.0,20006.0,[],12,0.3,0.5,3,11,0.1,0.08208279553944385,0.0,1.6666666666666667,0.01,3,0.0,60000.0,0.0,6,10,6308.188370919488,0.008690118789672852,5
9342908,0.3334761904761905,42000.0,14006.0,[],12,0.3,0.5,3,14,0.1,0.08620541400282318,0.0,1.6666666666666667,0.01,3,0.0,42000.0,0.0,6,10,4961.484034744772,0.010431289672851562,5
16435,0.33341666666666664,48000.0,16004.0,[],12,0.3,0.5,3,16,0.1,0.08046540962498079,0.0,1.6666666666666667,0.01,3,0.0,48000.0,0.0,6,10,5053.772060165547,0.015052080154418945,5
1699913,0.33345833333333336,48000.0,16006.0,[],12,0.3,0.5,3,19,0.1,0.08099467268087232,0.02,1.6666666666666667,0.01,3,0.0,48000.0,0.0,6,10,6750.885832830298,0.05856823921203613,5
7842988,0.33344444444444443,54000.0,18006.0,[],12,0.3,0.5,3,22,0.1,0.08295927602593567,0.01,1.6666666666666667,0.01,3,0.0,54000.0,0.0,6,10,6708.120900627807,0.031031131744384766,5
2886213,0.3334385964912281,57000.0,19006.0,[],12,0.3,0.5,3,25,0.1,0.05484865921540966,0.01,1.6666666666666667,0.01,3,0.0,57000.0,0.0,6,10,5630.243544713438,0.07653927803039551,5
4509213,0.6667435897435897,39000.0,26003.0,[],12,0.3,0.5,3,28,0.1,0.07920299238178048,0.01,1.6666666666666667,0.01,3,0.0,39000.0,0.0,6,10,8192.859835694762,0.01677727699279785,7
