ID,TransmissionRatio,Transmission,INEvTransmission,FilterUsed,Nodes,EventSkew,EventNodeRatio,WorkloadSize,NumberProjections,MinimalSelectivity,MedianSelectivity,CombigenComputationTime,Efficiency,PlacementComputationTime,centralHopLatency,Depth,CentralTransmission,LowerBound,EventTypes,MaximumParents,exact_costs,PushPullTime,MaxPushPullLatency
9919906,0.8619938033375006,183970.0,158581.0,[],50,1.3,0.5,5,8,0.1,0.03308487818953115,0.03,2.46,0.87,5,0.0,183970.0,0.0,6,8,75570.89834816835,0.07237124443054199,19
5824052,0.7879657664204109,247710.0,195187.0,[],50,1.3,0.5,5,13,0.1,0.07374828658178656,0.05,2.42,1.05,5,0.0,247710.0,0.0,6,8,201367.84938470332,0.012196779251098633,21
8466902,0.6411674720151519,205915.0,132026.0,[],50,1.3,0.5,5,17,0.1,0.05981992710907817,0.03,2.46,0.79,5,0.0,205915.0,0.0,6,8,92827.13086897903,0.04262542724609375,13
5483036,0.8966393708448192,246680.0,221183.0,[],50,1.3,0.5,5,21,0.1,0.05785435799498573,0.17,2.38,1.32,5,0.0,246680.0,0.0,6,8,173372.14059650543,0.08790922164916992,15
8986627,0.8199126596098163,210670.0,172731.0,[],50,1.3,0.5,5,26,0.1,0.06760075998098293,0.08,2.42,1.02,5,0.0,210670.0,0.0,6,8,97617.88187678638,0.026218652725219727,15
3072808,0.4657439285381967,214940.0,100107.0,[],50,1.3,0.5,5,29,0.1,0.06274054120982034,0.08,2.48,0.79,5,0.0,214940.0,0.0,6,8,44496.25628264996,0.1743297576904297,13
8944787,0.5430462145153013,185115.0,100526.0,[],50,1.3,0.5,5,32,0.1,0.08172932683676182,0.06,2.38,0.49,5,0.0,185115.0,0.0,6,8,45557.26241444616,0.002299785614013672,11
9776675,0.9089053887851318,219530.0,199532.0,[],50,1.3,0.5,5,37,0.1,0.06889525589737515,0.16,2.42,1.03,5,0.0,219530.0,0.0,6,8,139946.03074690004,0.053679704666137695,19
3498777,0.7042745438748914,230200.0,162124.0,[],50,1.3,0.5,5,40,0.1,0.07279488897389566,0.03,2.38,0.39,5,0.0,230200.0,0.0,6,8,29563.36797622768,0.006207942962646484,11
6656992,0.8232712492282362,194360.0,160011.0,[],50,1.3,0.5,5,45,0.1,1.0,0.04,2.38,0.82,5,0.0,194360.0,0.0,6,8,74433.05062253257,0.007388591766357422,19
3076949,0.5080557151062608,208920.0,106143.0,[],50,1.3,0.5,5,46,0.1,0.0813089052527874,0.21,2.36,0.47,5,0.0,208920.0,0.0,6,8,28043.087314873344,0.07862305641174316,11
1110958,0.702867060658655,227585.0,159962.0,[],50,1.3,0.5,5,50,0.1,0.07839669429840794,0.2,2.5,1.15,5,0.0,227585.0,0.0,6,8,186915.62363878486,0.20534825325012207,19
1855428,0.5832472033704834,240915.0,140513.0,[],50,1.3,0.5,5,53,0.1,0.08779255173780191,0.16,2.36,0.98,5,0.0,240915.0,0.0,6,8,96173.20253345928,0.042800188064575195,15
9723314,0.4977805032441842,252760.0,125819.0,[],50,1.3,0.5,5,54,0.1,0.09137471679736887,0.33,2.42,0.2,5,0.0,252760.0,0.0,6,8,26492.86336519811,0.0365297794342041,9
3490370,0.6465232023510452,210970.0,136397.0,[],50,1.3,0.5,5,59,0.1,0.07329562778716614,0.1,2.38,0.87,5,0.0,210970.0,0.0,6,8,95769.14826998654,0.020862817764282227,13
1046314,0.5837781846213144,207560.0,121169.0,[],50,1.3,0.5,5,63,0.1,0.09268771688389088,0.22,2.38,0.91,5,0.0,207560.0,0.0,6,8,51977.48749537945,0.010728836059570312,15
7690236,0.7451239218006782,219695.0,163700.0,[],50,1.3,0.5,5,66,0.1,0.045026584655168796,0.14,2.42,0.97,5,0.0,219695.0,0.0,6,8,62453.91377157273,0.05441570281982422,15
8548963,0.7328729907176816,220850.0,161855.0,[],50,1.3,0.5,5,71,0.1,0.09716370563144652,0.18,2.3,1.04,5,0.0,220850.0,0.0,6,8,161256.55173424864,0.014947891235351562,15
3614230,0.8164568155977597,237470.0,193884.0,[],50,1.3,0.5,5,76,0.1,0.0747896244701791,0.37,2.34,1.42,5,0.0,237470.0,0.0,6,8,140124.31613798696,0.12429332733154297,15
6802145,0.6437117960723111,230670.0,148485.0,[],50,1.3,0.5,5,77,0.1,0.06135991784558323,0.09,2.34,0.39,5,0.0,230670.0,0.0,6,8,51063.11556108748,0.013259410858154297,11
863540,0.7863407492846528,225415.0,177253.0,[],50,1.3,0.5,5,81,0.1,0.09046285020590622,0.32,2.38,0.82,5,0.0,225415.0,0.0,6,8,96844.96387812379,0.12771821022033691,15
6874914,0.775328317373461,146200.0,113353.0,[],50,1.3,0.5,5,84,0.1,0.09960825001307008,0.05,2.34,0.76,5,0.0,146200.0,0.0,6,8,71772.7875042067,0.004796504974365234,15
1340734,0.4007070184514572,173970.0,69711.0,[],50,1.3,0.5,5,87,0.1,0.07774227499492253,0.07,2.42,0.84,5,0.0,173970.0,0.0,6,8,131496.88298678593,0.010430097579956055,15
9986717,0.5761508716597179,231455.0,133353.0,[],50,1.3,0.5,5,90,0.1,0.045917398874167334,0.2,2.44,0.88,5,0.0,231455.0,0.0,6,8,83331.68762281962,0.05034780502319336,21
7622486,0.7790072162694074,205785.0,160308.0,[],50,1.3,0.5,5,93,0.1,0.07439417194707623,0.11,2.4,0.81,5,0.0,205785.0,0.0,6,8,87163.53533444184,0.017260313034057617,13
5750769,0.7142864639361898,190565.0,136118.0,[],50,1.3,0.5,5,96,0.1,0.0799336769925604,0.45,2.38,1.33,5,0.0,190565.0,0.0,6,8,89456.44808313317,0.026498794555664062,15
5533695,0.5022360480890677,213770.0,107363.0,[],50,1.3,0.5,5,98,0.1,0.09227261914370281,0.27,2.36,0.45,5,0.0,213770.0,0.0,6,8,26581.68877211977,0.03900313377380371,9
2943335,0.26920603215819433,250325.0,67389.0,[],50,1.3,0.5,5,100,0.1,0.05508680953177055,0.5,2.4,0.6,5,0.0,250325.0,0.0,6,8,20452.00963792261,0.1224513053894043,9
9482653,0.6080108750632272,158160.0,96163.0,[],50,1.3,0.5,5,104,0.1,0.06118311223811088,0.08,2.46,0.62,5,0.0,158160.0,0.0,6,8,40728.819222593775,0.015689849853515625,15
3719342,0.7844607551411757,226845.0,177951.0,[],50,1.3,0.5,5,106,0.1,0.06831469490820183,0.28,2.34,0.5,5,0.0,226845.0,0.0,6,8,75132.59346263707,0.031127214431762695,15
5938552,0.5437446349789392,250465.0,136189.0,[],50,1.3,0.5,5,108,0.1,0.07360032814373493,0.47,2.34,0.45,5,0.0,250465.0,0.0,6,8,7737.136250704056,0.04380083084106445,9
