ID,TransmissionRatio,Transmission,INEvTransmission,FilterUsed,Nodes,EventSkew,EventNodeRatio,WorkloadSize,NumberProjections,MinimalSelectivity,MedianSelectivity,CombigenComputationTime,Efficiency,PlacementComputationTime,centralHopLatency,Depth,CentralTransmission,LowerBound,EventTypes,MaximumParents,exact_costs,PushPullTime,MaxPushPullLatency
2319073,0.33345098039215687,51000.0,17006.0,[],12,0.3,0.5,3,3,0.1,0.06912146026590764,0.01,1.6666666666666667,0.01,3,0.0,51000.0,0.0,6,10,4895.241529410332,0.0025479793548583984,5
8717581,0.3334285714285714,42000.0,14004.0,[],12,0.3,0.5,3,5,0.1,0.06818468121262117,0.0,1.6666666666666667,0.01,3,0.0,42000.0,0.0,6,10,2393.3591544532255,0.08939719200134277,5
4567297,0.3335,36000.0,12006.0,[],12,0.3,0.5,3,11,0.1,0.07192261540862564,0.0,1.6666666666666667,0.01,3,0.0,36000.0,0.0,6,10,6868.322894663009,0.0012345314025878906,5
4291678,0.33345833333333336,48000.0,16006.0,[],12,0.3,0.5,3,17,0.1,0.08910916723114559,0.01,1.6666666666666667,0.01,3,0.0,48000.0,0.0,6,10,6886.06326503883,0.002906322479248047,5
6290400,0.33345098039215687,51000.0,17006.0,[],12,0.3,0.5,3,20,0.1,0.08066650573150894,0.0,1.6666666666666667,0.01,3,0.0,51000.0,0.0,6,10,9184.838478789843,0.0013756752014160156,5
2119743,0.33341176470588235,51000.0,17004.0,[],12,0.3,0.5,3,22,0.1,0.09611639228603609,0.01,1.6666666666666667,0.01,3,0.0,51000.0,0.0,6,10,7272.2059382125735,0.0026972293853759766,5
1216285,0.3334385964912281,57000.0,19006.0,[],12,0.3,0.5,3,25,0.1,0.07769023603405556,0.01,1.6666666666666667,0.01,3,0.0,57000.0,0.0,6,10,8680.870937271433,0.0014095306396484375,5
1808184,0.33345098039215687,51000.0,17006.0,[],12,0.3,0.5,3,28,0.1,0.08174014580010613,0.01,1.6666666666666667,0.01,3,0.0,51000.0,0.0,6,10,6406.251994579482,0.0038361549377441406,5
