ines_simulation_id,kraken_simulation_id,network_size,event_skew,node_event_ratio,num_event_types,max_parents,parent_factor,workload_size,query_length,simulation_mode,median_selectivity,xi,latency_threshold,total_projections_placed,placements_at_cloud,graph_density,strategy_name,strategy_status,combigen_time_seconds,ines_placement_time_seconds,ines_push_pull_time_seconds,ines_total_time_seconds,kraken_total_execution_time_seconds,kraken_strategy_execution_time_seconds,all_push_central_cost,inev_cost,ines_cost,kraken_total_cost,kraken_workload_cost,kraken_average_cost_per_placement,all_push_central_latency,ines_latency,kraken_max_latency
141853a2-cced-467a-a5f6-3f5ab32db2b0,bd6d8f4e-f235-4839-8747-b7f0cb9baec6,10,2.0,0.5,6,7,1.8,5,5,random,1.0,0,,9,0,0.16666666666666666,greedy,success,18.89,0.01,0.05988907814025879,0.06988907814025878,0.14250493049621582,0.14067316055297852,91644.0,54001.85905748221,8876.412302788023,2919.387553713193,744.4450137786263,324.37639485702147,3.0,9.0,9.0
bc96fb63-6894-445f-b2cc-973e1b496142,93c9fb3f-3ac0-4ddc-a90d-519d497447e8,10,2.0,0.5,6,7,1.8,5,5,random,0.00014279329514013228,0,,11,0,0.14444444444444443,greedy,success,22.66,0.01,0.03828001022338867,0.048280010223388674,0.006153106689453125,0.003695964813232422,21957.0,14884.946082753915,5817.839081241214,3931.417770763695,1000.417770763695,357.4016155239723,3.0,17.0,6.0
dd40a3e8-671c-46fc-8934-3b2ba401b705,de68ffee-da4b-4c56-8c5c-5aa295cde0d8,10,2.0,0.5,6,7,1.8,5,5,random,0.00019016998862530918,0,,17,0,0.15555555555555556,greedy,success,12.24,0.02,0.0465550422668457,0.06655504226684571,0.15926313400268555,0.15694332122802734,89151.0,60927.56584119196,29452.593250100817,7367.99450679984,305.56157747908526,433.41144157646113,3.0,10.0,5.0
328093a3-836a-47f4-a48d-efa38edf25a6,50fe012a-0e5a-4e55-bed2-96de11e2af20,10,2.0,0.5,6,7,1.8,5,8,random,0.00013318296295838783,0,,10,0,0.16666666666666666,greedy,success,50.63,0.01,0.025493860244750977,0.03549386024475098,0.15912389755249023,0.15672707557678223,105180.0,73324.21410646006,8767.815451130757,1814.9229001103056,2.7440844479846946,181.49229001103055,3.0,17.0,7.0
cbab6260-ec2b-4c26-935e-ef0be74be2fb,fc8bb0a0-01a2-4492-ab3b-fe91339913ef,10,2.0,0.5,6,7,1.8,5,8,random,0.00015704807540186218,0,,18,0,0.16666666666666666,greedy,success,72.34,0.02,0.04941225051879883,0.06941225051879883,0.009553194046020508,0.00654911994934082,42006.0,28271.028650130484,12778.415125996129,5798.015318574068,0.015318574068265738,322.1119621430038,3.0,10.0,7.0
5735063c-de24-417a-a985-0ed669c3efc1,9d19c373-5088-4eb4-a2c4-038886c2fb1a,10,2.0,0.5,6,7,1.8,5,8,random,0.00015364572884444709,0,,15,0,0.16666666666666666,greedy,success,44.63,0.02,0.057089805603027344,0.07708980560302735,0.2111048698425293,0.2081289291381836,156315.0,104966.24387131234,35287.8809435173,10680.308558170242,0.002541122249929155,712.0205705446828,3.0,10.0,6.0
5da33a11-87b9-46cf-826d-d8ae56120121,694eb138-c7dd-48a9-adf6-3e7aaddafbbc,10,2.0,0.5,6,7,1.8,5,8,random,0.00016260864366707866,0,,17,2,0.16666666666666666,greedy,success,85.86,0.02,0.03978300094604492,0.059783000946044926,0.1756422519683838,0.1725749969482422,96870.0,64800.07643204679,19864.72354898893,5150.029434372422,1317.2938046028125,302.9429079042601,3.0,10.0,21.0
01e456c9-afe3-4adc-89c1-0b7df0231307,9bd95655-a7b4-4702-82d1-62b085ff19a1,30,2.0,0.5,6,9,1.8,5,3,random,0.00016606791196164286,0,,7,0,0.13908045977011493,greedy,success,19.09,0.11,0.021155118942260742,0.13115511894226073,0.07206606864929199,0.0551600456237793,166636.0,67816.25660771219,17215.486095858378,9884.370444468992,0.028461876986079115,1412.0529206384274,4.0,12.0,6.0
200aeb87-818f-4fe1-9ece-4c22ad2c6413,be3ac93d-4d3d-448d-be80-0646abf72b8d,30,2.0,0.5,6,9,1.8,5,3,random,0.00013097300157383763,0,,6,0,0.1,greedy,success,7.41,0.08,0.032527923583984375,0.11252792358398438,0.0370938777923584,0.021878957748413086,277244.0,162747.9680803598,45248.465424323585,15755.037611350088,1275.0376113500886,2625.8396018916815,4.0,12.0,6.0
47f57543-d48f-4343-916c-3ee549f371d2,fd9e033c-516e-4dd8-a8f6-f82da15ab84a,30,2.0,0.5,6,9,1.8,5,3,random,0.0001548071053048777,0,,6,0,0.12873563218390804,greedy,success,20.38,0.09,0.034243106842041016,0.12424310684204101,0.1979658603668213,0.18009591102600098,309808.0,51880.66105277705,17542.63346908481,6033.390379342116,0.3903793421161483,1005.565063223686,4.0,10.0,5.0
